Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint
5825,,GKN Aerospace (Manchester),CF6-80C Fan Blade Profiling/Polishing,60% Short listed,Develop Budgetary Proposal,30,30/08/2019,,,,532,230,584,,673,692,120,512,Profiling,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05825&v=search"" target=""_blank"">SharePoint Reference</a>"
5839,,Superalloy Manufacturing Solutions Corporation master,T-56 Military  Compressor blade profiling/polishing,10% Project identified,Develop R.O.M. Estimate,20,30/08/2019,,,,,,,,,,,,Profiling,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05839&v=search"" target=""_blank"">SharePoint Reference</a>"
5776,,Arconic Wichita Falls,Multi-Segments Vanes Polishing,10% Project identified,Go/No-Go,10,30/08/2019,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05776&v=search"" target=""_blank"">SharePoint Reference</a>"
5541,,GKN Aerospace (Manchester),Polishing cell for Fan Blade,10% Project identified,Opportunity GO,15,27/09/2019,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05541&v=search"" target=""_blank"">SharePoint Reference</a>"
5380,,TECT Power (Utica),Profiling/Polishing Robotic Cell LE (Part 3423),30% Preliminary analysis,R.O.M. Submitted,25,30/09/2019,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05380&v=search"" target=""_blank"">SharePoint Reference</a>"
5065,,DRT Power Systems LLC,One (1) LPC Vane Robotic Polishing & Deburring System,30% Preliminary analysis,Budgetary Submitted,40,30/09/2019,,,,371,254,420,40,532,1468,0,452,Controlled Polishing,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05065&v=search"" target=""_blank"">SharePoint Reference</a>"
5084,,New England Airfoil Products Inc.,One (1)Compressor Blade Robotic Polishing and Profiling Systems (Military),30% Preliminary analysis,Develop Budgetary Proposal,30,31/10/2019,,,,606,662,354,45,963,779,18,485,Controlled Polishing,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05084&v=search"" target=""_blank"">SharePoint Reference</a>"
5775,,PCC - Crooksville,LPT Polishing airfoils LEAP,10% Project identified,Develop Budgetary Proposal,30,15/11/2019,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05775&v=search"" target=""_blank"">SharePoint Reference</a>"
5567,,Hitchiner Manufacturing,Compressor Blade Profiling,10% Project identified,R.O.M. Submitted,25,29/11/2019,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05567&v=search"" target=""_blank"">SharePoint Reference</a>"
5886,,ELIMETAL INC.,De-Burring parts.-,10% Project identified,Go/No-Go,10,29/11/2019,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05886&v=search"" target=""_blank"">SharePoint Reference</a>"
5885,,Flame Spray North America,TBC Nozzle Polishing,10% Project identified,Go/No-Go,10,20/12/2019,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05885&v=search"" target=""_blank"">SharePoint Reference</a>"
5177,,Superalloy Manufacturing Solutions Corporation master,Blisks deburring/polishing F-135 (Military),10% Project identified,Opportunity GO,20,20/12/2019,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05177&v=search"" target=""_blank"">SharePoint Reference</a>"
5460,,Arconic Dover,Segment Polishing,10% Project identified,Go/No-Go,10,21/12/2019,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05460&v=search"" target=""_blank"">SharePoint Reference</a>"
5779,,Moeller Aerospace Technologies,Ti LPT Blade Polishing/Deburring,10% Project identified,Budgetary Submitted,40,31/08/2020,,,34,804,260,496,4,897,858,160,674,Cosmetic Polishing,Deburring,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05779&v=search"" target=""_blank"">SharePoint Reference</a>"
5421,,AV&R (Démos Client),Essais d-ébavurage sur Aubes pour Turbine Jet,100% Closed Won,Closed Won,100,16/03/2018,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05421&v=search"" target=""_blank"">SharePoint Reference</a>"
5478,,AV&R (Développement Interne),Fabrication de deux (2) Systèmes Profilage Standards,100% Closed Won,Closed Won,100,27/04/2018,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05478&v=search"" target=""_blank"">SharePoint Reference</a>"
5477,,AV&R (Développement Interne),Fabrication de trois (3) Systèmes Polissage & Profilage,100% Closed Won,Closed Won,100,27/04/2018,,,,,,,,,,,,Polishing Non-Attribué,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05477&v=search"" target=""_blank"">SharePoint Reference</a>"
5520,,AV&R (Développement Interne),Implantation BESt,75% Choosen,Proposal Submitted,60,19/06/2018,,,52,0,740,676,24,1194,620,0,392,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05520&v=search"" target=""_blank"">SharePoint Reference</a>"
5535,,AV&R (Démos Client),Tests de Profilage pour Leistritz,100% Closed Won,Closed Won,100,22/06/2018,90% Verbal Agreement ou R.O.I. validé par DODE,26/06/2018,3,2,0,13,0,33,64,0,0,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05535&v=search"" target=""_blank"">SharePoint Reference</a>"
5591,,AV&R (Démos Client),Tests de Polissage pour TechJet,100% Closed Won,Closed Won,100,17/08/2018,,,7,2,0,35,0,33,224,0,0,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05591&v=search"" target=""_blank"">SharePoint Reference</a>"
5665,,AV&R (Développement Interne),Développement pin blending,100% Closed Won,Develop Fixed Price Proposal,50,11/10/2018,,,,,,,,,,,,Weld & A.M. Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05665&v=search"" target=""_blank"">SharePoint Reference</a>"
5833,,AV&R (Démos Client),Tests de Polissage & Profilage pour N.E.A.P.,100% Closed Won,Closed Won,100,18/02/2019,,,,,,,,,,,,Cosmetic Polishing,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05833&v=search"" target=""_blank"">SharePoint Reference</a>"
4910,C-04751,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,11/1/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04910&v=search"" target=""_blank"">SharePoint Reference</a>"
4911,C-04751,International rectifiers,SPARE PARTS,100% Closed Won,Closed Won,100,18/01/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04911&v=search"" target=""_blank"">SharePoint Reference</a>"
4836,,Pratt & Whitney AutoAir - Lansing,Addition of two heat seals to the oven doors,100% Closed Won,Closed Won,100,18/01/2017,90% Verbal Agreement ou R.O.I. validé par DODE,23/01/2017,,,45,29,,48,,130,18,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04836&v=search"" target=""_blank"">SharePoint Reference</a>"
4902,F-04478,Pratt & Whitney AutoAir - Lansing,DC-02: Mixing room ventilation,100% Closed Won,Closed Won,100,18/01/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04902&v=search"" target=""_blank"">SharePoint Reference</a>"
4921,,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,19/01/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04921&v=search"" target=""_blank"">SharePoint Reference</a>"
4607,,GEE Bucyrus,support,100% Closed Won,Closed Won,100,19/01/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04607&v=search"" target=""_blank"">SharePoint Reference</a>"
4919,C-04736,CIMA Technologies,Spare parts,100% Closed Won,Closed Won,100,23/01/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04919&v=search"" target=""_blank"">SharePoint Reference</a>"
4895,,Pratt & Whitney (PCI) - Columbus,Spare parts,100% Closed Won,Closed Won,100,25/01/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04895&v=search"" target=""_blank"">SharePoint Reference</a>"
4928,,Wolseley Industrial Group,Spare parts,100% Closed Won,Closed Won,100,26/01/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04928&v=search"" target=""_blank"">SharePoint Reference</a>"
4920,,Bel Fuse inc.,Spare parts,100% Closed Won,Closed Won,100,26/01/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04920&v=search"" target=""_blank"">SharePoint Reference</a>"
4823,,Pratt & Whitney Canada Longueuil,Support - update cellule anti-splatter R2,100% Closed Won,Closed Won,100,26/01/2017,90% Verbal Agreement ou R.O.I. validé par DODE,13/02/2017,,,0,29,0,0,0,148,328,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04823&v=search"" target=""_blank"">SharePoint Reference</a>"
4873,,Lisi (Bologne),Service-formation,100% Closed Won,Closed Won,100,1/2/2017,90% Verbal Agreement ou R.O.I. validé par DODE,6/2/2017,,,,16,,,136,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04873&v=search"" target=""_blank"">SharePoint Reference</a>"
4931,,GEA Piedmont,Spare parts,100% Closed Won,Closed Won,100,6/2/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04931&v=search"" target=""_blank"">SharePoint Reference</a>"
4934,C-00132,Detour Gold,Spare parts,100% Closed Won,Closed Won,100,6/2/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04934&v=search"" target=""_blank"">SharePoint Reference</a>"
4937,,Lisi (Marmande),Visite onsite,100% Closed Won,Closed Won,100,7/2/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04937&v=search"" target=""_blank"">SharePoint Reference</a>"
4941,C-04766,Lisi (Marmande),spare parts,100% Closed Won,Closed Won,100,13/02/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04941&v=search"" target=""_blank"">SharePoint Reference</a>"
4948,,International rectifiers,spare parts,100% Closed Won,Closed Won,100,20/02/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04948&v=search"" target=""_blank"">SharePoint Reference</a>"
4946,,Wolseley Industrial Group,spare parts,100% Closed Won,Closed Won,100,21/02/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04946&v=search"" target=""_blank"">SharePoint Reference</a>"
4802,,Airfoil Services Sdn. Bhd. (ASSB),Spare parts,100% Closed Won,Closed Won,100,21/02/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04802&v=search"" target=""_blank"">SharePoint Reference</a>"
4940,,Wesco,spare parts,100% Closed Won,Closed Won,100,22/02/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04940&v=search"" target=""_blank"">SharePoint Reference</a>"
4904,,Excent,Support Robot,100% Closed Won,Closed Won,100,1/3/2017,90% Verbal Agreement ou R.O.I. validé par DODE,,4,,0,0,0,0,0,0,150,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04904&v=search"" target=""_blank"">SharePoint Reference</a>"
4932,,GEA CAR,Services,100% Closed Won,Closed Won,100,1/3/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04932&v=search"" target=""_blank"">SharePoint Reference</a>"
4965,,International rectifiers,spare parts,100% Closed Won,Closed Won,100,10/3/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04965&v=search"" target=""_blank"">SharePoint Reference</a>"
4972,,Reliable Automatic Sprinkler,Spare parts,100% Closed Won,Closed Won,100,10/3/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04972&v=search"" target=""_blank"">SharePoint Reference</a>"
4964,,Pratt & Whitney Canada,spare parts,100% Closed Won,Closed Won,100,10/3/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04964&v=search"" target=""_blank"">SharePoint Reference</a>"
4901,F-04478,Pratt & Whitney AutoAir - Lansing,DC-01: Additional control,100% Closed Won,Closed Won,100,14/03/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04901&v=search"" target=""_blank"">SharePoint Reference</a>"
4981,C-04751,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,16/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04981&v=search"" target=""_blank"">SharePoint Reference</a>"
4963,,Pratt & Whitney (PCI) - Columbus,spare parts,100% Closed Won,Closed Won,100,23/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04963&v=search"" target=""_blank"">SharePoint Reference</a>"
4989,,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,24/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04989&v=search"" target=""_blank"">SharePoint Reference</a>"
4939,,Pratt & Whitney Canada Mirabel,services,100% Closed Won,Closed Won,100,28/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04939&v=search"" target=""_blank"">SharePoint Reference</a>"
4985,,Lafco,Spare parts,100% Closed Won,Closed Won,100,29/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04985&v=search"" target=""_blank"">SharePoint Reference</a>"
4583,4583,GEA Bromont,Support contract Pattern,100% Closed Won,Closed Won,100,30/03/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04583&v=search"" target=""_blank"">SharePoint Reference</a>"
4929,,Trimpot Electronicas,spare parts,100% Closed Won,Closed Won,100,30/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04929&v=search"" target=""_blank"">SharePoint Reference</a>"
4993,,Koyo Bearings,spare parts,100% Closed Won,Closed Won,100,30/03/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04993&v=search"" target=""_blank"">SharePoint Reference</a>"
4974,C-00132,Detour Gold,spare parts,100% Closed Won,Closed Won,100,30/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04974&v=search"" target=""_blank"">SharePoint Reference</a>"
4988,,Lumenpulse (Montreal),Services,100% Closed Won,Closed Won,100,30/03/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04988&v=search"" target=""_blank"">SharePoint Reference</a>"
4927,,GEA Piedmont,onsite support,100% Closed Won,Closed Won,100,5/4/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04927&v=search"" target=""_blank"">SharePoint Reference</a>"
5001,C-04708,Fuji Electric Philippines,spare parts,100% Closed Won,Closed Won,100,5/4/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05001&v=search"" target=""_blank"">SharePoint Reference</a>"
4768,,International Rectifier Hirel,Spare parts,100% Closed Won,Closed Won,100,6/4/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04768&v=search"" target=""_blank"">SharePoint Reference</a>"
5009,C-00197,Reliable Automatic Sprinkler,Spare parts Flux module,100% Closed Won,Closed Won,100,11/4/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05009&v=search"" target=""_blank"">SharePoint Reference</a>"
5011,,IMAX,Support on Mobile paint rig,100% Closed Won,Closed Won,100,20/04/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05011&v=search"" target=""_blank"">SharePoint Reference</a>"
5018,C-04662,GEE - Singapore,Spare parts - Terry tools,100% Closed Won,Closed Won,100,20/04/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05018&v=search"" target=""_blank"">SharePoint Reference</a>"
4896,,Koyo Bearings,support,100% Closed Won,Closed Won,100,20/04/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04896&v=search"" target=""_blank"">SharePoint Reference</a>"
5024,C-04736,CIMA Technologies,Spare parts,100% Closed Won,Closed Won,100,24/04/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05024&v=search"" target=""_blank"">SharePoint Reference</a>"
5027,,Valiant,Spare parts,100% Closed Won,Closed Won,100,25/04/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05027&v=search"" target=""_blank"">SharePoint Reference</a>"
5013,C-00132,Detour Gold,Spare parts,100% Closed Won,Closed Won,100,26/04/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05013&v=search"" target=""_blank"">SharePoint Reference</a>"
4827,,Pratt & Whitney AutoAir - Lansing,Spare HMI for Erosion Coating System R2,100% Closed Won,Closed Won,100,26/04/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04827&v=search"" target=""_blank"">SharePoint Reference</a>"
5031,C-04751,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,26/04/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05031&v=search"" target=""_blank"">SharePoint Reference</a>"
4835,,Pratt & Whitney AutoAir - Lansing,Support,100% Closed Won,Closed Won,100,27/04/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04835&v=search"" target=""_blank"">SharePoint Reference</a>"
4950,,Monnaie Royale Canadienne,Spare parts,100% Closed Won,Closed Won,100,28/04/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04950&v=search"" target=""_blank"">SharePoint Reference</a>"
4979,,Pratt & Whitney Canada Longueuil,04979 - support,100% Closed Won,Closed Won,100,1/5/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04979&v=search"" target=""_blank"">SharePoint Reference</a>"
5036,C-05009,Reliable Automatic Sprinkler,Spare parts,100% Closed Won,Closed Won,100,2/5/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05036&v=search"" target=""_blank"">SharePoint Reference</a>"
5038,C-05009,Reliable Automatic Sprinkler,Spare parts,100% Closed Won,Closed Won,100,3/5/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05038&v=search"" target=""_blank"">SharePoint Reference</a>"
5043,C-04964,Pratt & Whitney Canada Longueuil,spare parts repeat,100% Closed Won,Closed Won,100,4/5/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05043&v=search"" target=""_blank"">SharePoint Reference</a>"
5046,C-04751,International rectifiers,Spare parts,100% Closed Won,Closed Won,100,8/5/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05046&v=search"" target=""_blank"">SharePoint Reference</a>"
5014,,Lisi (Bologne),Spare parts diamond,100% Closed Won,Closed Won,100,12/5/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05014&v=search"" target=""_blank"">SharePoint Reference</a>"
5057,C-05011,IMAX,Support on Mobile paint rig,100% Closed Won,Closed Won,100,23/05/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05057&v=search"" target=""_blank"">SharePoint Reference</a>"
4971,C-04971,GEA Bromont,Services impartition senior,100% Closed Won,Closed Won,100,23/05/2017,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04971&v=search"" target=""_blank"">SharePoint Reference</a>"
4945,C-4793,Vishay Micro-electronics (Xi-an),spare parts,100% Closed Won,Closed Won,100,23/05/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04945&v=search"" target=""_blank"">SharePoint Reference</a>"
5029,C-04777,Pratt & Whitney Canada Halifax,Spare parts repeat 04777,100% Closed Won,Closed Won,100,24/05/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05029&v=search"" target=""_blank"">SharePoint Reference</a>"
5060,,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,26/05/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05060&v=search"" target=""_blank"">SharePoint Reference</a>"
5047,,Pratt & Whitney Canada Halifax,Support on ELB 3-4,100% Closed Won,Closed Won,100,26/05/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05047&v=search"" target=""_blank"">SharePoint Reference</a>"
5007,,TruckPro,Services,100% Closed Won,Closed Won,100,29/05/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05007&v=search"" target=""_blank"">SharePoint Reference</a>"
5066,C-04751,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,31/05/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05066&v=search"" target=""_blank"">SharePoint Reference</a>"
5061,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,1/6/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05061&v=search"" target=""_blank"">SharePoint Reference</a>"
5023,,Monnaie Royale Canadienne,Services formation,100% Closed Won,Closed Won,100,1/6/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05023&v=search"" target=""_blank"">SharePoint Reference</a>"
4881,,Pratt & Whitney AutoAir - Lansing,Storage HVAC,100% Closed Won,Closed Won,100,5/6/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04881&v=search"" target=""_blank"">SharePoint Reference</a>"
5071,5047DC01,Pratt & Whitney Canada Halifax,Support on ELB 3-4,100% Closed Won,Closed Won,100,5/6/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05071&v=search"" target=""_blank"">SharePoint Reference</a>"
5049,F-04478,Pratt & Whitney AutoAir - Lansing,DC-03: second exhaust addition,100% Closed Won,Closed Won,100,5/6/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05049&v=search"" target=""_blank"">SharePoint Reference</a>"
5074,C-04751,International rectifiers,Spare Parts,100% Closed Won,Closed Won,100,6/6/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05074&v=search"" target=""_blank"">SharePoint Reference</a>"
5082,,Reliable Automatic Sprinkler,Spare Parts,100% Closed Won,Closed Won,100,14/06/2017,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05082&v=search"" target=""_blank"">SharePoint Reference</a>"
5005,C-04766,Lisi (Marmande),spare parts,100% Closed Won,Closed Won,100,14/06/2017,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05005&v=search"" target=""_blank"">SharePoint Reference</a>"
5015,,Pratt & Whitney Canada Longueuil,Services - Ajout de senseurs,100% Closed Won,Closed Won,100,14/06/2017,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05015&v=search"" target=""_blank"">SharePoint Reference</a>"
